name,location,price,taxes,stars,ratings,condition,feature1,feature2,feature3
SPOT ON Anugraha Residency,"Ramanagar, Bangalore",₹479,+ ₹97 taxes & fees,4.3,(5 Ratings),Very Good,AC,TV,
OYO Flagship Hotel Malnad Grand Inn,"Kaniminike, Bangalore",₹515,+ ₹102 taxes & fees,2.9,(10 Ratings),Fair,AC,TV,
Manyata Tech Park,"Behind Manyata Tech Park Gate No.4, Rachenahalli ,Bangalore",₹603,+ ₹112 taxes & fees,3.9,(583 Ratings),Good,Free Wifi,Geyser,Power backup
Flagship Manu Residency Near Ascendas Park Square Mall,"Near, Sbi Bank Kadugodi, Opposite Sbi, Bangalore",₹687,+ ₹122 taxes & fees,3.7,(758 Ratings),Good,Parking facility,Free Wifi,Geyser
Collection O N R Residency Near Deepanjali Nagar Metro Station,Opposite Satelite Bus Stand Bapujinagar Mysore Road Bangalore 560026,₹1112,+ ₹173 taxes & fees,4.7,(533 Ratings),Excellent,Parking facility,Ticket tour assistance,Reception
Super OYO Capital O N R Residency,"Near Reva University, Yelahanka, Bangalore",₹1017,+ ₹172 taxes & fees,4.7,(349 Ratings),Excellent,Reception,Security,24/7 check-in
Capital O Hotel Royal Galaxy Finesse Near Phoenix Marketcity,"Bangalore Urban, Bangalore",₹768,+ ₹142 taxes & fees,3.5,(901 Ratings),Good,Reception,Free Wifi,In-house Restaurant
Super OYO Townhouse OAK Spruce Hotels A2 Indiranagar,"India, Bangalore",₹1741,+ ₹210 taxes & fees,4.4,(1424 Ratings),Very Good,Free Wifi,Daily housekeeping,AC
OYO Flagship 92604 Sp Residency Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Btm 2nd Stage, Bangalore",₹779,+ ₹123 taxes & fees,4.0,(235 Ratings),Very Good,Elevator,Free Wifi,Geyser
SPOT ON Hotel Sri Thirumala Lodge,"Opp BHEL, Bangalore",₹582,+ ₹110 taxes & fees,4.8,(861 Ratings),Excellent,Free Wifi,Geyser,Power backup
Flagship Hotel Ss Grand,"Bangalore South, Bangalore",₹699,+ ₹124 taxes & fees,4.3,(41 Ratings),Very Good,Reception,Free Wifi,Power backup
